,aerial,point cloud,detection,deep,cloud,object,building detection,segmentation,semantic segmentation,airborne
smart urban environment,0.11,0.24,0.18,0.23,0.18,0.21,0.36,-0.03,0.01,0.09
urban design problem,0.17,0.33,0.21,0.25,0.19,0.28,0.44,0.07,0.11,0.1
let spatial agent,0.17,0.36,0.27,0.24,0.23,0.38,0.31,0.09,0.24,0.13
game,0.11,0.37,0.07,0.22,0.13,0.17,0.15,-0.07,-0.02,0.02
interactive machine learning,0.23,0.28,0.26,0.17,0.21,0.32,0.39,0.07,0.17,0.16
urban aesthetic,0.15,0.15,0.08,0.22,0.06,0.22,0.23,0.05,0.13,0.01
aesthetic,0.1,0.11,0.09,0.18,0.01,0.25,0.16,0.13,0.24,-0.05
present study aim,0.19,0.39,0.2,0.27,0.19,0.31,0.4,-0.05,0.02,0.11
typical spatial behaviour,0.18,0.2,0.29,0.13,0.14,0.42,0.32,0.32,0.43,0.1
structured simple space,0.19,0.27,0.24,0.3,0.17,0.45,0.44,0.03,0.19,0.17
