,travel,traffic,urban human mobility,mobility,human mobility,bike,transit,transportation mode recognition,trajectory,human mobility data
aerial,0.13,0.18,0.2,0.21,0.19,0.11,0.1,0.26,0.12,0.23
point cloud,0.28,0.28,0.2,0.09,0.19,0.11,0.22,0.32,0.2,0.32
detection,0.08,0.22,0.19,0.14,0.22,0.11,0.21,0.33,0.21,0.31
deep,0.2,0.11,0.23,0.08,0.2,0.04,0.07,0.19,0.06,0.23
cloud,0.22,0.2,0.14,0.09,0.14,0.05,0.08,0.2,0.13,0.23
object,0.15,0.15,0.23,0.08,0.25,0.07,0.13,0.33,0.28,0.34
building detection,0.16,0.32,0.32,0.17,0.29,0.16,0.28,0.45,0.17,0.38
segmentation,-0.18,0.04,0.03,0.09,0.07,-0.07,-0.04,0.13,0.08,0.11
semantic segmentation,-0.16,0.05,0.07,0.13,0.11,-0.06,-0.04,0.21,0.08,0.19
airborne,0.06,0.18,0.12,0.16,0.12,0.05,0.14,0.17,0.09,0.14
