,smart urban environment,urban design problem,let spatial agent,game,interactive machine learning,urban aesthetic,aesthetic,present study aim,typical spatial behaviour,structured simple space
road traffic noise,0.38,0.47,0.27,0.23,0.27,0.31,0.12,0.31,0.27,0.29
urban form indicator,0.63,0.68,0.32,0.21,0.34,0.6,0.23,0.51,0.44,0.44
interface network,0.44,0.44,0.33,0.28,0.5,0.28,0.16,0.29,0.37,0.46
interface network connectivity,0.44,0.42,0.29,0.23,0.45,0.3,0.17,0.27,0.37,0.41
classical urban design,0.63,0.82,0.27,0.22,0.43,0.74,0.46,0.52,0.42,0.53
housing estate,0.4,0.43,0.2,0.07,0.16,0.29,-0.0,0.28,0.13,0.28
greenway suitability analysis,0.16,0.24,0.18,0.02,0.17,0.19,0.19,0.3,0.31,0.25
using network analysis,0.45,0.53,0.46,0.29,0.54,0.29,0.15,0.58,0.41,0.55
economic assessment using,0.5,0.51,0.39,0.24,0.39,0.34,0.21,0.65,0.4,0.45
assessment using machine,0.42,0.47,0.4,0.3,0.66,0.25,0.18,0.51,0.37,0.5
