,smart city ecosystem,innovation,application area,artificial intelligence technology,smart city initiative,sharing economy,city ecosystem,increasingly turning toward,turning toward specialized,toward specialized technology
smart urban environment,0.72,0.46,0.47,0.44,0.68,0.42,0.5,0.4,0.38,0.49
urban design problem,0.53,0.45,0.56,0.44,0.55,0.39,0.45,0.41,0.44,0.52
let spatial agent,0.29,0.18,0.42,0.4,0.28,0.24,0.22,0.2,0.26,0.29
game,0.3,0.16,0.27,0.25,0.28,0.18,0.22,0.27,0.25,0.23
interactive machine learning,0.38,0.42,0.42,0.49,0.4,0.29,0.23,0.33,0.44,0.55
urban aesthetic,0.4,0.4,0.38,0.26,0.34,0.18,0.39,0.3,0.31,0.32
aesthetic,0.14,0.33,0.2,0.19,0.07,0.03,0.13,0.17,0.2,0.21
present study aim,0.39,0.34,0.49,0.48,0.49,0.46,0.37,0.44,0.47,0.51
typical spatial behaviour,0.3,0.24,0.37,0.3,0.2,0.2,0.25,0.22,0.27,0.31
structured simple space,0.36,0.3,0.42,0.45,0.36,0.35,0.22,0.33,0.39,0.46
