,smart urban environment,urban design problem,let spatial agent,game,interactive machine learning,urban aesthetic,aesthetic,present study aim,typical spatial behaviour,structured simple space
topic modeling,0.31,0.42,0.36,0.17,0.42,0.25,0.23,0.39,0.38,0.42
retail store placement,0.37,0.38,0.28,0.23,0.37,0.22,0.1,0.29,0.27,0.37
store placement problem,0.42,0.61,0.44,0.3,0.43,0.26,0.14,0.45,0.39,0.49
syntactic,-0.05,0.01,0.18,-0.07,0.06,0.11,0.2,-0.03,0.32,0.18
store,0.27,0.28,0.26,0.23,0.28,0.13,0.06,0.18,0.15,0.28
leisure,0.3,0.2,0.12,0.11,0.25,0.3,0.19,0.12,0.21,0.26
heterogeneous urban data,0.61,0.6,0.34,0.13,0.36,0.54,0.2,0.41,0.45,0.48
store placement,0.3,0.34,0.32,0.22,0.37,0.16,0.1,0.29,0.29,0.38
business,0.45,0.44,0.27,0.24,0.41,0.23,0.1,0.42,0.21,0.37
functional region,0.39,0.47,0.3,0.15,0.29,0.39,0.27,0.48,0.39,0.4
