,smart urban environment,urban design problem,let spatial agent,game,interactive machine learning,urban aesthetic,aesthetic,present study aim,typical spatial behaviour,structured simple space
aerial,0.11,0.17,0.17,0.11,0.23,0.15,0.1,0.19,0.18,0.19
point cloud,0.24,0.33,0.36,0.37,0.28,0.15,0.11,0.39,0.2,0.27
detection,0.18,0.21,0.27,0.07,0.26,0.08,0.09,0.2,0.29,0.24
deep,0.23,0.25,0.24,0.22,0.17,0.22,0.18,0.27,0.13,0.3
cloud,0.18,0.19,0.23,0.13,0.21,0.06,0.01,0.19,0.14,0.17
object,0.21,0.28,0.38,0.17,0.32,0.22,0.25,0.31,0.42,0.45
building detection,0.36,0.44,0.31,0.15,0.39,0.23,0.16,0.4,0.32,0.44
segmentation,-0.03,0.07,0.09,-0.07,0.07,0.05,0.13,-0.05,0.32,0.03
semantic segmentation,0.01,0.11,0.24,-0.02,0.17,0.13,0.24,0.02,0.43,0.19
airborne,0.09,0.1,0.13,0.02,0.16,0.01,-0.05,0.11,0.1,0.17
