,topic modeling,retail store placement,store placement problem,syntactic,store,leisure,heterogeneous urban data,store placement,business,functional region
aerial,0.08,0.05,0.09,0.08,0.03,0.03,0.17,0.09,0.03,0.15
point cloud,0.29,0.19,0.32,-0.02,0.16,0.04,0.29,0.18,0.29,0.22
detection,0.2,0.1,0.25,0.11,0.09,-0.02,0.27,0.18,0.02,0.22
deep,0.12,0.11,0.22,-0.0,0.11,0.07,0.16,0.11,0.19,0.25
cloud,0.21,0.08,0.15,-0.04,0.06,0.03,0.24,0.07,0.19,0.14
object,0.41,0.18,0.32,0.24,0.17,0.09,0.28,0.24,0.17,0.29
building detection,0.23,0.32,0.45,0.05,0.32,0.06,0.33,0.38,0.27,0.35
segmentation,0.23,0.04,0.09,0.25,-0.07,-0.04,0.16,0.06,-0.04,0.09
semantic segmentation,0.31,0.05,0.14,0.57,-0.04,0.0,0.24,0.1,-0.02,0.17
airborne,0.11,0.05,0.09,0.07,0.03,-0.01,0.07,0.07,0.01,0.14
