,soundscape,perception,street,greenery,public space,street greenery,human perception,perceptual,pedestrian,street view image
aerial,0.04,0.09,0.07,0.15,0.22,0.15,0.11,0.07,0.09,0.21
point cloud,-0.13,0.24,0.23,0.04,0.4,0.2,0.26,-0.04,0.05,0.44
detection,0.05,0.22,-0.03,-0.03,0.17,-0.04,0.25,0.22,0.16,0.1
deep,-0.09,0.26,0.09,0.05,0.31,0.11,0.3,-0.01,0.06,0.25
cloud,-0.01,0.15,0.09,0.12,0.26,0.15,0.16,-0.03,-0.0,0.26
object,-0.05,0.31,0.07,-0.02,0.38,0.04,0.37,0.19,0.04,0.36
building detection,-0.06,0.22,0.25,0.02,0.45,0.21,0.31,0.08,0.3,0.36
segmentation,0.18,0.27,-0.1,0.0,-0.11,-0.07,0.16,0.33,0.07,0.04
semantic segmentation,0.23,0.34,-0.11,0.05,-0.03,-0.06,0.22,0.54,0.08,0.08
airborne,0.03,0.03,0.03,0.01,0.15,0.03,0.04,0.05,-0.02,0.05
