,road traffic noise,urban form indicator,interface network,interface network connectivity,classical urban design,housing estate,greenway suitability analysis,using network analysis,economic assessment using,assessment using machine
aerial,0.18,0.2,0.17,0.17,0.17,-0.03,0.12,0.33,0.23,0.36
point cloud,0.34,0.35,0.23,0.22,0.2,0.15,0.13,0.37,0.4,0.37
detection,0.25,0.16,0.26,0.26,0.13,-0.02,0.18,0.4,0.29,0.42
deep,0.19,0.22,0.15,0.11,0.17,0.15,0.08,0.27,0.28,0.23
cloud,0.2,0.2,0.17,0.17,0.1,0.06,0.08,0.24,0.23,0.24
object,0.2,0.31,0.32,0.28,0.26,0.11,0.15,0.34,0.27,0.35
building detection,0.4,0.31,0.32,0.3,0.37,0.29,0.21,0.51,0.44,0.54
segmentation,-0.0,0.01,0.19,0.24,0.03,-0.15,0.19,0.14,0.01,0.06
semantic segmentation,0.03,0.04,0.3,0.35,0.1,-0.12,0.26,0.24,0.07,0.12
airborne,0.16,0.12,0.17,0.14,0.06,-0.06,0.04,0.19,0.1,0.22
