,stream water quality,carbon sequestration potential,flood,complexity science research,automata,land use change,mosquito,analog,cellular automata,urban land growth
urban planning reform,0.35,0.24,0.24,0.43,-0.09,0.58,-0.01,0.02,0.02,0.73
expert system,0.37,0.24,0.23,0.49,-0.06,0.48,0.09,0.16,0.11,0.34
urban information system,0.53,0.31,0.31,0.52,-0.05,0.63,0.1,0.22,0.16,0.65
heterogeneous expert knowledge,0.26,0.2,0.03,0.56,0.07,0.34,0.04,0.04,0.17,0.25
democratic urban land,0.39,0.19,0.29,0.3,-0.09,0.69,0.02,0.05,0.0,0.79
expert system approach,0.41,0.28,0.23,0.53,-0.04,0.57,0.09,0.2,0.12,0.39
intelligent decision making,0.33,0.27,0.11,0.41,0.02,0.58,-0.01,0.16,0.14,0.37
mathematical programming,0.23,0.08,0.02,0.52,0.27,0.23,0.01,0.34,0.28,0.13
expert,0.17,0.09,0.13,0.42,-0.1,0.23,0.08,-0.03,-0.01,0.15
urban land dynamic,0.46,0.25,0.25,0.37,-0.01,0.72,0.08,0.14,0.11,0.87
