,smart city ecosystem,innovation,application area,artificial intelligence technology,smart city initiative,sharing economy,city ecosystem,increasingly turning toward,turning toward specialized,toward specialized technology
topic modeling,0.23,0.27,0.38,0.38,0.19,0.28,0.16,0.26,0.31,0.38
retail store placement,0.31,0.26,0.39,0.3,0.31,0.3,0.2,0.2,0.3,0.38
store placement problem,0.36,0.24,0.52,0.4,0.39,0.35,0.24,0.33,0.42,0.47
syntactic,-0.11,0.04,0.01,0.05,-0.2,-0.08,-0.08,-0.09,-0.03,-0.03
store,0.33,0.13,0.32,0.2,0.28,0.2,0.24,0.15,0.21,0.23
leisure,0.21,0.21,0.17,0.11,0.17,0.16,0.17,0.11,0.13,0.2
heterogeneous urban data,0.46,0.3,0.48,0.41,0.37,0.38,0.44,0.27,0.28,0.41
store placement,0.28,0.19,0.4,0.31,0.29,0.2,0.16,0.18,0.3,0.38
business,0.42,0.41,0.4,0.39,0.44,0.52,0.31,0.42,0.42,0.52
functional region,0.38,0.27,0.53,0.36,0.3,0.32,0.39,0.33,0.38,0.42
