,aerial,point cloud,detection,deep,cloud,object,building detection,segmentation,semantic segmentation,airborne
soundscape,0.04,-0.13,0.05,-0.09,-0.01,-0.05,-0.06,0.18,0.23,0.03
perception,0.09,0.24,0.22,0.26,0.15,0.31,0.22,0.27,0.34,0.03
street,0.07,0.23,-0.03,0.09,0.09,0.07,0.25,-0.1,-0.11,0.03
greenery,0.15,0.04,-0.03,0.05,0.12,-0.02,0.02,0.0,0.05,0.01
public space,0.22,0.4,0.17,0.31,0.26,0.38,0.45,-0.11,-0.03,0.15
street greenery,0.15,0.2,-0.04,0.11,0.15,0.04,0.21,-0.07,-0.06,0.03
human perception,0.11,0.26,0.25,0.3,0.16,0.37,0.31,0.16,0.22,0.04
perceptual,0.07,-0.04,0.22,-0.01,-0.03,0.19,0.08,0.33,0.54,0.05
pedestrian,0.09,0.05,0.16,0.06,-0.0,0.04,0.3,0.07,0.08,-0.02
street view image,0.21,0.44,0.1,0.25,0.26,0.36,0.36,0.04,0.08,0.05
