,carbon emission,climate change mitigation,emission,built environment factor,heterogeneous urban environment,climate,urban data science,air quality monitoring,air quality,carbon
smart urban environment,0.26,0.47,0.2,0.66,0.8,0.46,0.7,0.47,0.43,0.26
urban design problem,0.23,0.44,0.17,0.62,0.64,0.35,0.69,0.47,0.46,0.24
let spatial agent,0.15,0.29,0.12,0.34,0.28,0.2,0.34,0.36,0.33,0.15
game,0.02,0.15,-0.01,0.33,0.14,0.09,0.23,0.24,0.27,0.04
interactive machine learning,0.1,0.18,0.06,0.41,0.33,0.16,0.47,0.35,0.32,0.12
urban aesthetic,0.14,0.27,0.12,0.43,0.65,0.2,0.57,0.3,0.33,0.12
aesthetic,0.07,0.11,0.09,0.26,0.27,0.03,0.22,0.17,0.22,0.04
present study aim,0.3,0.46,0.23,0.53,0.4,0.4,0.62,0.5,0.43,0.31
typical spatial behaviour,0.21,0.37,0.21,0.37,0.43,0.29,0.38,0.32,0.26,0.18
structured simple space,0.24,0.3,0.17,0.5,0.45,0.23,0.54,0.43,0.41,0.26
