,aerial,point cloud,detection,deep,cloud,object,building detection,segmentation,semantic segmentation,airborne
temperature,0.06,0.3,0.26,0.2,0.2,0.24,0.26,-0.01,0.03,0.08
thermal,0.16,0.13,0.37,0.1,0.1,0.21,0.34,0.08,0.1,0.15
cooling,0.08,0.25,0.24,0.17,0.23,0.17,0.33,0.05,0.08,0.06
surface temperature,0.19,0.38,0.32,0.34,0.28,0.35,0.35,-0.03,0.05,0.17
energy,0.04,0.25,0.13,0.16,0.16,0.16,0.27,-0.15,-0.07,-0.01
land surface temperature,0.26,0.43,0.29,0.39,0.28,0.36,0.39,-0.07,0.01,0.18
urban heat island,0.18,0.36,0.14,0.27,0.22,0.2,0.31,-0.16,-0.11,0.09
ventilation,0.05,0.07,0.34,0.1,0.11,0.06,0.38,0.16,0.15,0.13
thermal comfort,0.11,0.17,0.32,0.2,0.07,0.23,0.34,0.05,0.08,0.11
comfort,-0.01,0.13,0.1,0.22,-0.01,0.14,0.17,-0.01,0.02,0.0
