,smart urban environment,urban design problem,let spatial agent,game,interactive machine learning,urban aesthetic,aesthetic,present study aim,typical spatial behaviour,structured simple space
land cover classification,0.39,0.47,0.4,0.23,0.24,0.3,0.1,0.43,0.33,0.44
land cover,0.39,0.44,0.36,0.23,0.2,0.28,0.06,0.4,0.17,0.4
data weighting method,0.27,0.34,0.37,0.16,0.38,0.21,0.16,0.4,0.45,0.45
urban land cover,0.65,0.67,0.33,0.22,0.25,0.57,0.14,0.46,0.24,0.44
optical,0.14,0.22,0.22,0.06,0.34,0.17,0.21,0.15,0.32,0.25
land cover mapping,0.42,0.48,0.44,0.22,0.29,0.32,0.12,0.46,0.31,0.46
cover,0.26,0.34,0.3,0.19,0.19,0.19,0.09,0.32,0.16,0.34
image classification,0.29,0.4,0.35,0.19,0.29,0.29,0.25,0.35,0.46,0.36
data weighting,0.21,0.22,0.3,0.12,0.26,0.14,0.08,0.28,0.37,0.33
eight machine learning,0.37,0.44,0.34,0.45,0.8,0.2,0.1,0.46,0.29,0.47
