,binary urban footprint,urban land expansion,building height,driving force,urban footprint,land price,expansion,main driving force,body mass index,residential land price
temperature,0.17,0.15,0.28,0.17,0.13,0.21,0.17,0.19,0.35,0.19
thermal,0.18,0.17,0.18,0.12,0.14,0.18,0.2,0.13,0.25,0.18
cooling,0.12,0.18,0.25,0.18,0.12,0.11,0.27,0.22,0.2,0.21
surface temperature,0.23,0.25,0.34,0.23,0.19,0.28,0.19,0.26,0.39,0.27
energy,0.23,0.31,0.25,0.29,0.23,0.34,0.3,0.31,0.34,0.34
land surface temperature,0.28,0.53,0.43,0.32,0.3,0.58,0.29,0.36,0.43,0.55
urban heat island,0.38,0.62,0.36,0.36,0.51,0.38,0.3,0.41,0.34,0.47
ventilation,0.13,0.05,0.23,0.04,0.09,-0.02,0.07,0.06,0.07,0.04
thermal comfort,0.17,0.2,0.25,0.19,0.18,0.24,0.18,0.19,0.27,0.23
comfort,0.07,0.14,0.23,0.18,0.15,0.2,0.06,0.18,0.16,0.19
