,aerial,point cloud,detection,deep,cloud,object,building detection,segmentation,semantic segmentation,airborne
topic modeling,0.08,0.29,0.2,0.12,0.21,0.41,0.23,0.23,0.31,0.11
retail store placement,0.05,0.19,0.1,0.11,0.08,0.18,0.32,0.04,0.05,0.05
store placement problem,0.09,0.32,0.25,0.22,0.15,0.32,0.45,0.09,0.14,0.09
syntactic,0.08,-0.02,0.11,-0.0,-0.04,0.24,0.05,0.25,0.57,0.07
store,0.03,0.16,0.09,0.11,0.06,0.17,0.32,-0.07,-0.04,0.03
leisure,0.03,0.04,-0.02,0.07,0.03,0.09,0.06,-0.04,0.0,-0.01
heterogeneous urban data,0.17,0.29,0.27,0.16,0.24,0.28,0.33,0.16,0.24,0.07
store placement,0.09,0.18,0.18,0.11,0.07,0.24,0.38,0.06,0.1,0.07
business,0.03,0.29,0.02,0.19,0.19,0.17,0.27,-0.04,-0.02,0.01
functional region,0.15,0.22,0.22,0.25,0.14,0.29,0.35,0.09,0.17,0.14
