,traffic,traffic light control,road traffic safety,traffic control,traffic control system,routing,light control,traffic safety,pedestrian,congestion
topic modeling,0.15,0.19,0.11,0.18,0.22,0.1,0.18,0.15,-0.0,0.06
retail store placement,0.24,0.27,0.25,0.26,0.29,0.03,0.23,0.27,0.2,0.09
store placement problem,0.33,0.41,0.38,0.41,0.46,0.11,0.36,0.4,0.16,0.22
syntactic,-0.02,-0.02,-0.13,-0.02,-0.0,0.15,-0.02,-0.09,0.02,0.04
store,0.24,0.26,0.24,0.23,0.24,0.05,0.21,0.23,0.19,0.08
leisure,0.2,0.15,0.21,0.14,0.12,-0.05,0.08,0.22,0.22,0.12
heterogeneous urban data,0.33,0.37,0.27,0.38,0.46,0.21,0.31,0.3,0.21,0.28
store placement,0.2,0.24,0.24,0.23,0.28,0.05,0.21,0.25,0.18,0.04
business,0.3,0.37,0.34,0.36,0.39,0.08,0.33,0.34,0.03,0.09
functional region,0.23,0.37,0.28,0.36,0.42,0.16,0.38,0.29,0.13,0.15
