,temperature,thermal,cooling,surface temperature,energy,land surface temperature,urban heat island,ventilation,thermal comfort,comfort
travel,0.12,-0.02,0.03,0.15,0.23,0.23,0.29,-0.03,0.1,0.2
traffic,0.19,0.05,0.2,0.23,0.17,0.29,0.31,0.18,0.08,0.08
urban human mobility,0.15,0.15,0.09,0.26,0.33,0.38,0.5,0.1,0.25,0.27
mobility,0.11,0.14,0.1,0.18,0.2,0.21,0.15,0.13,0.23,0.25
human mobility,0.14,0.13,0.06,0.24,0.31,0.31,0.25,0.09,0.23,0.25
bike,0.01,0.1,0.1,0.08,0.06,0.13,0.23,0.0,0.17,0.18
transit,0.11,0.19,0.14,0.16,0.25,0.22,0.28,0.08,0.17,0.05
transportation mode recognition,0.19,0.2,0.2,0.25,0.39,0.31,0.35,0.19,0.29,0.27
trajectory,0.22,0.1,0.17,0.31,0.12,0.28,0.04,0.01,0.07,-0.02
human mobility data,0.22,0.18,0.17,0.31,0.39,0.37,0.3,0.11,0.28,0.27
