,smart infrastructure system,smart infrastructure,infrastructure system,outbreak,smart city network,data sharing,governance,smart,urban governance,air quality
aerial,0.17,0.14,0.2,0.13,0.16,0.16,-0.07,0.03,0.04,0.33
point cloud,0.31,0.2,0.32,0.13,0.34,0.35,0.08,0.15,0.13,0.36
detection,0.32,0.21,0.31,0.16,0.17,0.27,0.04,0.18,0.06,0.23
deep,0.21,0.14,0.2,0.07,0.22,0.21,0.06,0.11,0.14,0.26
cloud,0.23,0.15,0.25,0.11,0.22,0.25,0.08,0.08,0.1,0.24
object,0.24,0.15,0.24,0.01,0.16,0.35,0.07,0.13,0.11,0.17
building detection,0.5,0.42,0.5,0.18,0.4,0.35,0.16,0.26,0.23,0.36
segmentation,0.07,0.03,0.09,-0.12,-0.08,0.05,0.07,-0.01,0.02,-0.08
semantic segmentation,0.12,0.09,0.14,-0.14,-0.06,0.17,0.13,0.02,0.06,-0.06
airborne,0.17,0.1,0.17,0.18,0.11,0.1,0.02,0.07,0.05,0.3
