,aerial,point cloud,detection,deep,cloud,object,building detection,segmentation,semantic segmentation,airborne
crash,0.19,0.21,0.15,0.14,0.17,0.17,0.21,-0.06,-0.05,0.19
vehicle ownership,0.24,0.23,0.19,0.16,0.11,0.3,0.4,-0.03,0.04,0.14
crime,0.07,0.17,0.24,0.16,0.05,0.15,0.27,-0.07,-0.06,0.04
ownership,0.07,0.17,0.01,0.1,0.08,0.14,0.2,-0.12,-0.02,-0.03
waterlogging,-0.0,-0.18,0.05,-0.02,-0.04,-0.12,-0.07,0.23,0.22,0.05
opportunistic,0.1,-0.06,0.16,-0.05,-0.12,0.07,0.05,0.16,0.15,0.1
public transportation route,0.22,0.36,0.14,0.17,0.17,0.17,0.36,-0.08,-0.06,0.16
scale urban problem,0.2,0.36,0.23,0.32,0.2,0.27,0.4,0.04,0.08,0.12
real world data,0.21,0.45,0.21,0.28,0.25,0.36,0.38,-0.05,0.06,0.09
game abstraction framework,0.16,0.44,0.14,0.25,0.27,0.39,0.27,0.08,0.27,0.09
