,smart urban environment,urban design problem,let spatial agent,game,interactive machine learning,urban aesthetic,aesthetic,present study aim,typical spatial behaviour,structured simple space
landscape pattern,0.4,0.51,0.3,0.19,0.28,0.44,0.31,0.35,0.51,0.34
land cover pattern,0.41,0.53,0.42,0.26,0.28,0.31,0.11,0.46,0.4,0.48
urban greenness space,0.63,0.63,0.28,0.1,0.24,0.68,0.32,0.37,0.36,0.6
landscape,0.44,0.43,0.19,0.15,0.19,0.51,0.36,0.26,0.28,0.21
various land cover,0.42,0.49,0.39,0.27,0.31,0.32,0.12,0.51,0.27,0.45
dust,0.19,0.2,0.16,0.08,0.14,0.1,-0.02,0.17,0.08,0.2
sediment yield,0.14,0.17,0.2,0.01,0.04,0.13,0.1,0.25,0.24,0.23
urban greenness,0.57,0.5,0.08,-0.07,0.06,0.71,0.31,0.19,0.28,0.22
sediment,0.1,0.14,0.12,-0.05,0.0,0.13,0.07,0.1,0.22,0.12
watershed soil erosion,0.27,0.3,0.13,0.05,0.06,0.27,0.13,0.28,0.23,0.17
