,landscape pattern,land cover pattern,urban greenness space,landscape,various land cover,dust,sediment yield,urban greenness,sediment,watershed soil erosion
travel,0.15,0.31,0.21,0.14,0.37,0.12,0.03,0.01,-0.0,0.03
traffic,0.21,0.31,0.26,0.11,0.29,0.25,0.21,0.18,0.19,0.16
urban human mobility,0.38,0.43,0.63,0.32,0.42,0.15,0.15,0.54,0.12,0.33
mobility,0.15,0.15,0.3,0.11,0.13,0.04,0.09,0.23,0.07,0.11
human mobility,0.26,0.33,0.38,0.16,0.32,0.1,0.14,0.23,0.09,0.25
bike,0.14,0.18,0.2,0.13,0.19,0.09,-0.01,0.12,-0.01,0.05
transit,0.1,0.21,0.2,0.05,0.22,0.04,0.01,0.1,0.04,0.05
transportation mode recognition,0.36,0.39,0.34,0.28,0.39,0.11,0.12,0.19,0.05,0.16
trajectory,0.28,0.2,0.2,0.16,0.05,0.09,0.19,0.09,0.11,0.15
human mobility data,0.3,0.39,0.42,0.16,0.38,0.15,0.25,0.21,0.16,0.27
