,temperature,thermal,cooling,surface temperature,energy,land surface temperature,urban heat island,ventilation,thermal comfort,comfort
binary urban footprint,0.17,0.18,0.12,0.23,0.23,0.28,0.38,0.13,0.17,0.07
urban land expansion,0.15,0.17,0.18,0.25,0.31,0.53,0.62,0.05,0.2,0.14
building height,0.28,0.18,0.25,0.34,0.25,0.43,0.36,0.23,0.25,0.23
driving force,0.17,0.12,0.18,0.23,0.29,0.32,0.36,0.04,0.19,0.18
urban footprint,0.13,0.14,0.12,0.19,0.23,0.3,0.51,0.09,0.18,0.15
land price,0.21,0.18,0.11,0.28,0.34,0.58,0.38,-0.02,0.24,0.2
expansion,0.17,0.2,0.27,0.19,0.3,0.29,0.3,0.07,0.18,0.06
main driving force,0.19,0.13,0.22,0.26,0.31,0.36,0.41,0.06,0.19,0.18
body mass index,0.35,0.25,0.2,0.39,0.34,0.43,0.34,0.07,0.27,0.16
residential land price,0.19,0.18,0.21,0.27,0.34,0.55,0.47,0.04,0.23,0.19
