,stream water quality,carbon sequestration potential,flood,complexity science research,automata,land use change,mosquito,analog,cellular automata,urban land growth
topic modeling,0.2,0.23,0.07,0.47,0.16,0.29,-0.06,0.15,0.21,0.17
retail store placement,0.32,0.21,0.08,0.29,-0.05,0.33,-0.09,0.14,0.1,0.36
store placement problem,0.45,0.31,0.17,0.39,-0.05,0.5,0.02,0.16,0.12,0.4
syntactic,-0.01,0.07,-0.06,0.11,0.32,0.02,-0.01,0.06,0.24,-0.09
store,0.29,0.14,0.13,0.13,-0.07,0.29,-0.04,0.12,0.05,0.24
leisure,0.19,0.05,-0.02,0.21,-0.04,0.15,0.06,0.04,0.03,0.25
heterogeneous urban data,0.38,0.26,0.14,0.44,0.08,0.39,0.03,0.22,0.22,0.57
store placement,0.34,0.23,0.08,0.27,-0.03,0.34,-0.06,0.13,0.11,0.27
business,0.32,0.17,0.09,0.42,-0.13,0.44,-0.1,0.12,0.08,0.45
functional region,0.37,0.27,0.22,0.34,0.06,0.41,0.08,0.18,0.2,0.41
