,aerial,point cloud,detection,deep,cloud,object,building detection,segmentation,semantic segmentation,airborne
travel,0.13,0.28,0.08,0.2,0.22,0.15,0.16,-0.18,-0.16,0.06
traffic,0.18,0.28,0.22,0.11,0.2,0.15,0.32,0.04,0.05,0.18
urban human mobility,0.2,0.2,0.19,0.23,0.14,0.23,0.32,0.03,0.07,0.12
mobility,0.21,0.09,0.14,0.08,0.09,0.08,0.17,0.09,0.13,0.16
human mobility,0.19,0.19,0.22,0.2,0.14,0.25,0.29,0.07,0.11,0.12
bike,0.11,0.11,0.11,0.04,0.05,0.07,0.16,-0.07,-0.06,0.05
transit,0.1,0.22,0.21,0.07,0.08,0.13,0.28,-0.04,-0.04,0.14
transportation mode recognition,0.26,0.32,0.33,0.19,0.2,0.33,0.45,0.13,0.21,0.17
trajectory,0.12,0.2,0.21,0.06,0.13,0.28,0.17,0.08,0.08,0.09
human mobility data,0.23,0.32,0.31,0.23,0.23,0.34,0.38,0.11,0.19,0.14
