,smart infrastructure system,smart infrastructure,infrastructure system,outbreak,smart city network,data sharing,governance,smart,urban governance,air quality
topic modeling,0.25,0.21,0.21,-0.01,0.21,0.37,0.21,0.2,0.23,0.15
retail store placement,0.35,0.33,0.28,0.05,0.37,0.36,0.05,0.31,0.18,0.31
store placement problem,0.44,0.37,0.39,0.15,0.43,0.43,0.13,0.33,0.24,0.4
syntactic,-0.01,-0.03,0.03,-0.04,-0.17,0.03,0.09,-0.08,0.04,-0.1
store,0.23,0.21,0.14,0.05,0.35,0.27,-0.09,0.27,0.04,0.24
leisure,0.19,0.24,0.16,-0.04,0.19,0.11,0.05,0.15,0.2,0.17
heterogeneous urban data,0.49,0.41,0.5,0.07,0.43,0.63,0.29,0.22,0.59,0.31
store placement,0.31,0.27,0.23,0.02,0.35,0.33,0.01,0.3,0.1,0.3
business,0.47,0.46,0.41,0.05,0.49,0.38,0.29,0.34,0.35,0.34
functional region,0.41,0.34,0.46,0.15,0.3,0.27,0.32,0.13,0.41,0.33
