,stream water quality,carbon sequestration potential,flood,complexity science research,automata,land use change,mosquito,analog,cellular automata,urban land growth
binary urban footprint,0.29,0.36,0.05,0.3,0.14,0.34,0.09,0.27,0.21,0.47
urban land expansion,0.42,0.24,0.29,0.33,-0.06,0.72,0.07,0.09,0.07,0.9
building height,0.33,0.18,0.29,0.31,-0.08,0.44,0.01,0.09,0.06,0.42
driving force,0.3,0.22,0.16,0.22,-0.09,0.5,0.03,0.08,0.05,0.38
urban footprint,0.33,0.35,0.16,0.29,0.01,0.4,0.13,0.19,0.13,0.64
land price,0.42,0.27,0.25,0.24,-0.14,0.72,0.02,0.07,0.01,0.66
expansion,0.23,0.24,0.16,0.24,-0.0,0.43,-0.03,0.1,0.11,0.54
main driving force,0.37,0.22,0.18,0.29,-0.12,0.54,0.02,0.11,0.03,0.43
body mass index,0.34,0.21,0.11,0.34,-0.11,0.41,-0.0,0.03,0.02,0.37
residential land price,0.44,0.26,0.24,0.26,-0.12,0.67,0.04,0.11,0.06,0.73
