,smart infrastructure system,smart infrastructure,infrastructure system,outbreak,smart city network,data sharing,governance,smart,urban governance,air quality
binary urban footprint,0.39,0.33,0.4,-0.0,0.33,0.3,0.24,0.18,0.51,0.23
urban land expansion,0.51,0.47,0.53,0.14,0.48,0.28,0.27,0.23,0.65,0.37
building height,0.38,0.33,0.38,0.2,0.37,0.21,0.16,0.18,0.25,0.32
driving force,0.36,0.32,0.31,0.13,0.38,0.24,0.1,0.28,0.2,0.5
urban footprint,0.39,0.4,0.39,0.06,0.41,0.22,0.3,0.2,0.68,0.31
land price,0.39,0.32,0.39,0.15,0.34,0.33,0.15,0.2,0.28,0.41
expansion,0.39,0.36,0.4,0.11,0.32,0.23,0.19,0.17,0.31,0.22
main driving force,0.4,0.32,0.39,0.15,0.45,0.3,0.14,0.22,0.27,0.5
body mass index,0.31,0.22,0.34,0.18,0.29,0.34,0.21,0.11,0.26,0.32
residential land price,0.46,0.41,0.46,0.15,0.41,0.32,0.17,0.22,0.4,0.41
