,traffic,traffic light control,road traffic safety,traffic control,traffic control system,routing,light control,traffic safety,pedestrian,congestion
soundscape,-0.13,-0.14,-0.2,-0.16,-0.13,0.03,-0.12,-0.17,0.03,0.0
perception,0.12,0.28,0.12,0.21,0.26,-0.01,0.32,0.16,0.06,0.16
street,0.34,0.35,0.4,0.3,0.29,0.11,0.28,0.27,0.32,0.16
greenery,0.06,0.03,0.02,0.02,-0.0,-0.02,-0.0,0.03,0.25,0.12
public space,0.35,0.49,0.43,0.46,0.52,0.03,0.47,0.44,0.21,0.2
street greenery,0.3,0.29,0.32,0.24,0.22,0.07,0.21,0.23,0.41,0.21
human perception,0.21,0.38,0.27,0.32,0.38,-0.05,0.41,0.31,0.06,0.12
perceptual,-0.07,0.0,-0.08,-0.03,0.03,0.05,0.05,-0.04,0.03,0.06
pedestrian,0.53,0.36,0.51,0.38,0.32,0.16,0.15,0.46,1.0,0.38
street view image,0.32,0.49,0.4,0.38,0.43,0.13,0.49,0.32,0.22,0.16
