,smart city ecosystem,innovation,application area,artificial intelligence technology,smart city initiative,sharing economy,city ecosystem,increasingly turning toward,turning toward specialized,toward specialized technology
soundscape,0.07,0.07,-0.08,0.02,-0.11,-0.09,0.13,-0.11,-0.13,-0.07
perception,0.19,0.25,0.17,0.35,0.19,0.28,0.16,0.33,0.26,0.28
street,0.28,0.09,0.2,0.19,0.33,0.23,0.23,0.29,0.25,0.22
greenery,0.16,0.05,0.07,0.09,0.02,-0.04,0.21,-0.03,-0.06,-0.04
public space,0.41,0.3,0.44,0.44,0.48,0.39,0.37,0.42,0.41,0.48
street greenery,0.31,0.1,0.2,0.2,0.26,0.15,0.31,0.2,0.15,0.14
human perception,0.3,0.3,0.29,0.5,0.3,0.34,0.28,0.4,0.38,0.42
perceptual,-0.07,0.17,0.02,0.15,-0.17,-0.04,-0.02,-0.09,0.04,0.08
pedestrian,0.28,0.1,0.19,0.11,0.23,0.08,0.22,0.13,0.11,0.08
street view image,0.4,0.19,0.36,0.36,0.44,0.4,0.33,0.51,0.44,0.42
