,travel,traffic,urban human mobility,mobility,human mobility,bike,transit,transportation mode recognition,trajectory,human mobility data
smart infrastructure system,0.3,0.37,0.51,0.34,0.41,0.2,0.37,0.6,0.07,0.51
smart infrastructure,0.28,0.31,0.47,0.35,0.37,0.18,0.29,0.5,-0.01,0.42
infrastructure system,0.25,0.38,0.5,0.31,0.41,0.17,0.4,0.61,0.08,0.51
outbreak,0.18,0.17,0.16,-0.01,0.15,-0.06,0.07,0.06,-0.01,0.17
smart city network,0.4,0.42,0.46,0.24,0.33,0.23,0.4,0.45,-0.02,0.41
data sharing,0.26,0.34,0.35,0.21,0.35,0.14,0.23,0.43,0.09,0.67
governance,0.04,0.09,0.37,0.17,0.33,-0.06,0.06,0.27,0.04,0.34
smart,0.24,0.17,0.27,0.23,0.22,0.16,0.13,0.28,0.01,0.26
urban governance,0.14,0.25,0.67,0.26,0.39,0.08,0.22,0.39,0.06,0.4
air quality,0.3,0.42,0.44,0.33,0.4,0.11,0.24,0.44,0.05,0.46
