,stream water quality,carbon sequestration potential,flood,complexity science research,automata,land use change,mosquito,analog,cellular automata,urban land growth
positive deviance,0.11,0.12,-0.0,0.15,0.03,0.13,0.11,0.1,0.08,0.12
urban planning firm,0.38,0.24,0.23,0.44,-0.08,0.54,-0.0,0.04,0.08,0.69
personality,0.07,0.04,-0.05,0.26,0.02,0.2,-0.02,0.05,0.07,0.09
social media data,0.43,0.29,0.22,0.56,-0.05,0.5,0.02,0.21,0.13,0.46
tweet,-0.07,-0.04,-0.1,-0.16,0.03,-0.06,0.04,-0.01,0.02,-0.17
player,0.18,0.11,0.06,0.09,-0.1,0.28,-0.04,0.13,0.02,0.15
input excerpt must,0.33,0.23,0.15,0.29,0.0,0.47,0.06,0.31,0.11,0.26
six possible personality,0.33,0.29,0.16,0.35,-0.07,0.53,0.03,0.09,0.07,0.34
possible personality class,0.31,0.29,0.11,0.41,-0.04,0.52,0.03,0.08,0.11,0.34
media data analysis,0.42,0.31,0.2,0.56,-0.03,0.44,0.02,0.25,0.15,0.36
