,temperature,thermal,cooling,surface temperature,energy,land surface temperature,urban heat island,ventilation,thermal comfort,comfort
topic modeling,0.21,0.12,0.14,0.25,0.21,0.23,0.18,-0.03,0.12,0.07
retail store placement,0.17,0.08,0.16,0.18,0.24,0.23,0.2,0.11,0.16,0.18
store placement problem,0.23,0.15,0.2,0.28,0.25,0.35,0.29,0.19,0.22,0.2
syntactic,0.1,0.08,0.01,0.11,-0.03,0.06,-0.01,0.05,0.04,-0.03
store,0.18,0.11,0.11,0.17,0.19,0.22,0.23,0.1,0.19,0.2
leisure,0.03,0.09,0.07,0.04,0.13,0.09,0.18,-0.02,0.2,0.24
heterogeneous urban data,0.22,0.19,0.22,0.29,0.27,0.35,0.47,0.1,0.23,0.16
store placement,0.18,0.09,0.11,0.2,0.15,0.25,0.16,0.15,0.16,0.18
business,0.12,0.02,0.13,0.14,0.31,0.23,0.27,-0.03,0.1,0.16
functional region,0.27,0.31,0.2,0.35,0.3,0.39,0.36,0.07,0.34,0.2
