,soundscape,perception,street,greenery,public space,street greenery,human perception,perceptual,pedestrian,street view image
smart infrastructure system,-0.04,0.24,0.19,0.03,0.48,0.17,0.33,0.02,0.25,0.37
smart infrastructure,-0.03,0.17,0.17,0.06,0.38,0.17,0.24,-0.05,0.28,0.29
infrastructure system,-0.02,0.24,0.15,0.05,0.49,0.14,0.34,0.08,0.2,0.33
outbreak,-0.14,0.07,0.1,-0.01,0.13,0.07,0.2,-0.06,0.02,0.09
smart city network,-0.11,0.17,0.36,0.0,0.46,0.28,0.28,-0.17,0.27,0.46
data sharing,-0.02,0.23,0.2,-0.06,0.45,0.12,0.35,0.1,0.09,0.39
governance,0.01,0.25,0.07,-0.02,0.19,0.04,0.37,0.11,-0.02,0.23
smart,-0.07,0.13,0.18,-0.02,0.22,0.13,0.15,-0.1,0.21,0.26
urban governance,0.07,0.26,0.17,0.13,0.36,0.21,0.37,0.04,0.17,0.3
air quality,-0.08,0.23,0.14,0.1,0.49,0.18,0.32,-0.03,0.14,0.37
