,smart urban environment,urban design problem,let spatial agent,game,interactive machine learning,urban aesthetic,aesthetic,present study aim,typical spatial behaviour,structured simple space
smart city ecosystem,0.72,0.53,0.29,0.3,0.38,0.4,0.14,0.39,0.3,0.36
innovation,0.46,0.45,0.18,0.16,0.42,0.4,0.33,0.34,0.24,0.3
application area,0.47,0.56,0.42,0.27,0.42,0.38,0.2,0.49,0.37,0.42
artificial intelligence technology,0.44,0.44,0.4,0.25,0.49,0.26,0.19,0.48,0.3,0.45
smart city initiative,0.68,0.55,0.28,0.28,0.4,0.34,0.07,0.49,0.2,0.36
sharing economy,0.42,0.39,0.24,0.18,0.29,0.18,0.03,0.46,0.2,0.35
city ecosystem,0.5,0.45,0.22,0.22,0.23,0.39,0.13,0.37,0.25,0.22
increasingly turning toward,0.4,0.41,0.2,0.27,0.33,0.3,0.17,0.44,0.22,0.33
turning toward specialized,0.38,0.44,0.26,0.25,0.44,0.31,0.2,0.47,0.27,0.39
toward specialized technology,0.49,0.52,0.29,0.23,0.55,0.32,0.21,0.51,0.31,0.46
