,smart urban environment,urban design problem,let spatial agent,game,interactive machine learning,urban aesthetic,aesthetic,present study aim,typical spatial behaviour,structured simple space
binary urban footprint,0.5,0.51,0.26,0.09,0.26,0.51,0.22,0.28,0.42,0.43
urban land expansion,0.66,0.65,0.29,0.24,0.24,0.57,0.13,0.47,0.24,0.4
building height,0.3,0.45,0.21,0.17,0.26,0.29,0.2,0.38,0.29,0.38
driving force,0.34,0.39,0.3,0.27,0.28,0.18,0.06,0.4,0.24,0.29
urban footprint,0.64,0.63,0.17,0.08,0.2,0.64,0.22,0.34,0.3,0.33
land price,0.37,0.39,0.31,0.24,0.18,0.22,0.05,0.41,0.19,0.33
expansion,0.34,0.36,0.22,0.25,0.21,0.24,0.06,0.38,0.18,0.27
main driving force,0.35,0.47,0.3,0.29,0.31,0.24,0.1,0.5,0.26,0.33
body mass index,0.25,0.32,0.28,0.19,0.24,0.16,0.05,0.43,0.27,0.29
residential land price,0.47,0.49,0.28,0.21,0.22,0.37,0.11,0.4,0.23,0.38
