,travel,traffic,urban human mobility,mobility,human mobility,bike,transit,transportation mode recognition,trajectory,human mobility data
smart urban environment,0.28,0.31,0.69,0.32,0.43,0.19,0.25,0.49,0.08,0.47
urban design problem,0.27,0.4,0.67,0.31,0.42,0.26,0.29,0.5,0.14,0.48
let spatial agent,0.27,0.26,0.32,0.19,0.32,0.08,0.18,0.36,0.14,0.42
game,0.21,0.16,0.18,0.09,0.17,0.12,0.05,0.28,0.03,0.21
interactive machine learning,0.27,0.2,0.36,0.27,0.34,0.26,0.1,0.46,0.08,0.43
urban aesthetic,0.13,0.2,0.63,0.26,0.34,0.12,0.18,0.34,0.14,0.31
aesthetic,0.01,0.0,0.28,0.16,0.24,0.0,-0.02,0.19,0.16,0.19
present study aim,0.32,0.26,0.5,0.18,0.44,0.07,0.2,0.41,0.18,0.53
typical spatial behaviour,0.13,0.23,0.41,0.27,0.39,0.1,0.07,0.39,0.27,0.46
structured simple space,0.29,0.25,0.44,0.26,0.39,0.2,0.18,0.42,0.24,0.49
