,temperature,thermal,cooling,surface temperature,energy,land surface temperature,urban heat island,ventilation,thermal comfort,comfort
soundscape,-0.04,0.08,-0.02,-0.06,-0.1,-0.11,-0.08,0.04,0.04,-0.03
perception,0.16,0.13,0.09,0.18,0.15,0.18,0.16,0.05,0.22,0.24
street,0.02,-0.08,0.06,0.1,0.13,0.15,0.24,0.05,0.02,0.13
greenery,0.05,0.04,0.09,0.1,0.01,0.16,0.12,0.14,0.08,0.08
public space,0.19,0.17,0.22,0.28,0.39,0.41,0.42,0.15,0.27,0.26
street greenery,0.05,-0.03,0.1,0.14,0.11,0.22,0.26,0.13,0.06,0.15
human perception,0.16,0.12,0.06,0.23,0.27,0.28,0.25,0.04,0.21,0.23
perceptual,0.12,0.16,0.12,0.09,-0.04,0.03,-0.07,0.11,0.2,0.16
pedestrian,0.07,0.02,0.16,0.12,-0.02,0.14,0.21,0.23,0.1,0.16
street view image,0.12,0.11,0.12,0.22,0.22,0.29,0.3,0.03,0.22,0.26
