,smart infrastructure system,smart infrastructure,infrastructure system,outbreak,smart city network,data sharing,governance,smart,urban governance,air quality
smart urban environment,0.71,0.72,0.56,0.06,0.66,0.35,0.35,0.64,0.71,0.43
urban design problem,0.59,0.52,0.57,0.16,0.54,0.37,0.34,0.35,0.69,0.46
let spatial agent,0.32,0.23,0.28,0.03,0.32,0.39,0.09,0.23,0.16,0.33
game,0.28,0.19,0.23,0.1,0.35,0.19,0.01,0.24,0.08,0.27
interactive machine learning,0.49,0.4,0.41,0.01,0.47,0.41,0.17,0.38,0.25,0.32
urban aesthetic,0.34,0.34,0.33,-0.01,0.33,0.15,0.28,0.18,0.68,0.33
aesthetic,0.11,0.11,0.1,-0.11,0.06,0.04,0.18,0.07,0.25,0.22
present study aim,0.43,0.33,0.45,0.21,0.41,0.47,0.36,0.19,0.45,0.43
typical spatial behaviour,0.32,0.24,0.3,0.05,0.21,0.35,0.25,0.2,0.31,0.26
structured simple space,0.5,0.43,0.44,0.01,0.4,0.48,0.21,0.37,0.34,0.41
