,person detection method,freeway,task scheduling algorithm,sustainable smart city,urban data management,smart city application,urban freeway corridor,anomaly detection,person detection,freeway corridor
smart urban environment,0.34,0.12,0.19,0.76,0.69,0.66,0.49,0.12,0.32,0.22
urban design problem,0.41,0.21,0.38,0.59,0.71,0.57,0.52,0.2,0.31,0.27
let spatial agent,0.47,0.04,0.31,0.21,0.4,0.38,0.11,0.27,0.44,0.06
game,0.23,0.03,0.21,0.25,0.22,0.32,0.1,0.07,0.23,0.06
interactive machine learning,0.46,-0.0,0.37,0.38,0.42,0.49,0.15,0.23,0.38,0.07
urban aesthetic,0.22,0.12,0.12,0.44,0.53,0.36,0.48,0.11,0.15,0.18
aesthetic,0.2,-0.04,0.1,0.16,0.15,0.16,0.07,0.15,0.14,-0.02
present study aim,0.46,0.04,0.26,0.48,0.55,0.44,0.25,0.17,0.37,0.13
typical spatial behaviour,0.46,-0.03,0.38,0.23,0.43,0.31,0.1,0.35,0.4,-0.01
structured simple space,0.48,0.04,0.41,0.39,0.5,0.45,0.24,0.22,0.38,0.14
