,binary urban footprint,urban land expansion,building height,driving force,urban footprint,land price,expansion,main driving force,body mass index,residential land price
stream water quality,0.29,0.42,0.33,0.3,0.33,0.42,0.23,0.37,0.34,0.44
carbon sequestration potential,0.36,0.24,0.18,0.22,0.35,0.27,0.24,0.22,0.21,0.26
flood,0.05,0.29,0.29,0.16,0.16,0.25,0.16,0.18,0.11,0.24
complexity science research,0.3,0.33,0.31,0.22,0.29,0.24,0.24,0.29,0.34,0.26
automata,0.14,-0.06,-0.08,-0.09,0.01,-0.14,-0.0,-0.12,-0.11,-0.12
land use change,0.34,0.72,0.44,0.5,0.4,0.72,0.43,0.54,0.41,0.67
mosquito,0.09,0.07,0.01,0.03,0.13,0.02,-0.03,0.02,-0.0,0.04
analog,0.27,0.09,0.09,0.08,0.19,0.07,0.1,0.11,0.03,0.11
cellular automata,0.21,0.07,0.06,0.05,0.13,0.01,0.11,0.03,0.02,0.06
urban land growth,0.47,0.9,0.42,0.38,0.64,0.66,0.54,0.43,0.37,0.73
