,carbon emission,climate change mitigation,emission,built environment factor,heterogeneous urban environment,climate,urban data science,air quality monitoring,air quality,carbon
topic modeling,0.13,0.38,0.12,0.31,0.33,0.37,0.42,0.18,0.15,0.12
retail store placement,0.14,0.21,0.09,0.34,0.23,0.13,0.41,0.31,0.31,0.17
store placement problem,0.19,0.33,0.13,0.44,0.28,0.22,0.46,0.43,0.4,0.21
syntactic,0.02,0.06,-0.01,0.01,0.08,-0.03,-0.0,-0.09,-0.1,0.04
store,0.11,0.14,0.05,0.26,0.12,0.08,0.27,0.22,0.24,0.14
leisure,0.05,0.04,0.04,0.22,0.25,0.04,0.27,0.16,0.17,0.05
heterogeneous urban data,0.24,0.35,0.2,0.44,0.83,0.32,0.77,0.38,0.31,0.23
store placement,0.14,0.19,0.08,0.3,0.17,0.09,0.34,0.3,0.3,0.16
business,0.09,0.26,0.05,0.45,0.3,0.24,0.46,0.34,0.34,0.12
functional region,0.23,0.32,0.2,0.49,0.42,0.31,0.39,0.39,0.33,0.22
