,topic modeling,retail store placement,store placement problem,syntactic,store,leisure,heterogeneous urban data,store placement,business,functional region
stream water quality,0.2,0.32,0.45,-0.01,0.29,0.19,0.38,0.34,0.32,0.37
carbon sequestration potential,0.23,0.21,0.31,0.07,0.14,0.05,0.26,0.23,0.17,0.27
flood,0.07,0.08,0.17,-0.06,0.13,-0.02,0.14,0.08,0.09,0.22
complexity science research,0.47,0.29,0.39,0.11,0.13,0.21,0.44,0.27,0.42,0.34
automata,0.16,-0.05,-0.05,0.32,-0.07,-0.04,0.08,-0.03,-0.13,0.06
land use change,0.29,0.33,0.5,0.02,0.29,0.15,0.39,0.34,0.44,0.41
mosquito,-0.06,-0.09,0.02,-0.01,-0.04,0.06,0.03,-0.06,-0.1,0.08
analog,0.15,0.14,0.16,0.06,0.12,0.04,0.22,0.13,0.12,0.18
cellular automata,0.21,0.1,0.12,0.24,0.05,0.03,0.22,0.11,0.08,0.2
urban land growth,0.17,0.36,0.4,-0.09,0.24,0.25,0.57,0.27,0.45,0.41
