group,score,key-phrase
0,0.5892538,space ontology
0,0.5801126,space conceptualization
0,0.55931675,spatial cognition
0,0.49421388,cooperative space conceptualization
0,0.44729248,typical spatial behaviour
0,0.4433605,spatial behaviour
0,0.4387384,space perception
1,0.61232734,game technology
1,0.581777,modern game technology
1,0.5545642,spatial environment concern
1,0.52894485,videogame environment
1,0.5259719,spatial environment
1,0.47205228,game engine
1,0.4643227,game environment
1,0.45485806,playable video game
2,0.63704413,conduct cooperative design
2,0.6130826,Online cooperative design
2,0.60352254,online design
2,0.60334575,cooperative design
2,0.5009487,interactive design
2,0.47999138,interactive machine learning
2,0.39804244,interactive machine
3,0.57173765,algorithmic space planning
3,0.561786,spatial planning
3,0.56151485,algorithmic spatial planning
3,0.5387715,motion planning
3,0.50877273,planning support system
3,0.5012411,space planning
3,0.49764627,effective digital planning
3,0.49462712,planning support
3,0.48028806,digital planning
3,0.35961938,plan management
4,0.78945017,AI urbanism
4,0.7719582,urban computing
4,0.7493665,urban virtual modelling
4,0.7270974,future city ecosystem
4,0.7148727,Smart urban future
4,0.7137443,urban aesthetic evaluation
4,0.7060281,smart infrastructure system
4,0.6884522,generative urban design
4,0.68797386,generative urban aesthetic
4,0.6819058,smart city planning
4,0.6787528,freeway incident management
4,0.67722857,Road traffic safety
4,0.6739628,future smart city
4,0.6702846,traffic control intelligence
4,0.66957664,smart city model
4,0.66534615,intelligent transportation system
4,0.6646115,traffic safety management
4,0.65854204,traffic safety strategy
4,0.65735555,smart sustainable city
4,0.6570623,arterial road control
4,0.6561382,smart infrastructure
4,0.654317,Urban designer work
4,0.652929,urban traffic management
4,0.6507986,city ecosystem
4,0.6497702,smart city construction
4,0.6458595,IoT data
4,0.64392394,dynamic urban theory
4,0.6419266,smart city development
4,0.6335814,smart city
4,0.6332871,Traffic light control
4,0.6328933,IoT big data
4,0.6312693,smart city subsystem
4,0.6291311,smart city ecosystem
4,0.6268931,urban aesthetic
4,0.62150776,urban space
4,0.6202284,geographical information system
4,0.6166891,Smart urban infrastructure
4,0.61438626,effective smart infrastructure
4,0.609365,traffic safety
4,0.60843897,virtual modelling platform
4,0.6025288,smart city governance
4,0.5999826,traffic safety portfolio
4,0.59966016,urban design practice
4,0.5991583,architectural urban theory
4,0.59644395,urban design research
4,0.596115,future city
4,0.59474343,sustainable urban design
4,0.5942122,traffic light system
4,0.59206384,transportation information
4,0.59172297,Procedural urban environment
4,0.590948,smart city application
4,0.59070116,sustainable urban development
4,0.58984995,urban future
4,0.5856302,urban intelligence
4,0.58395576,whole traffic control
4,0.58250755,design thinking
4,0.58144176,monitoring road traffic
4,0.57566595,heterogeneous traffic flow
4,0.5749101,complex urban governance
4,0.57447773,urban development towards
4,0.57235897,aesthetic evaluation
4,0.5705471,smart IoT application
4,0.57037157,smart urbanization
4,0.5683836,virtual city environment
4,0.5670941,urban traffic network
4,0.5660427,mixed traffic condition
4,0.56303704,virtual modelling
4,0.5620899,smart digital city
4,0.5617672,urban road network
4,0.56145763,urban layout
4,0.5607655,urban development
4,0.559335,traffic path
4,0.5584843,urban morphology
4,0.5576626,urban model
4,0.5559811,mobility data
4,0.5552853,road control
4,0.54951155,urban service
4,0.547112,urban simulation
4,0.54537445,urban design aspect
4,0.54513174,road traffic information
4,0.5442027,urban traffic control
4,0.5436831,vehicular data
