n_neighbour,cluster,sse
50,98,39.85402297973633
50,99,38.457218170166016
50,100,38.353553771972656
50,101,38.35868453979492
50,102,37.77833938598633
50,103,37.21942901611328
50,104,37.19644546508789
50,105,37.08280563354492
50,106,36.421852111816406
50,107,35.98822021484375
50,108,35.22913360595703
50,109,35.436187744140625
50,110,35.0004997253418
50,111,35.37632369995117
50,112,34.36894607543945
50,113,33.98314666748047
50,114,33.789451599121094
50,115,33.70066452026367
50,116,32.87664794921875
50,117,33.17123031616211
50,118,33.02128982543945
50,119,32.38302230834961
50,120,32.3968505859375
50,121,31.570547103881836
50,122,31.487363815307617
50,123,31.58415985107422
50,124,31.325300216674805
50,125,31.405017852783203
50,126,30.491666793823242
50,127,30.519987106323242
50,128,30.213090896606445
50,129,29.792495727539062
50,130,29.645158767700195
50,131,29.502727508544922
50,132,29.163753509521484
50,133,29.229455947875977
50,134,28.522775650024414
50,135,28.750564575195312
50,136,28.241979598999023
50,137,27.863794326782227
50,138,28.171382904052734
50,139,27.767597198486328
50,140,27.608562469482422
50,141,27.10784912109375
50,142,27.375505447387695
50,143,26.70444679260254
50,144,26.882387161254883
50,145,26.55403709411621
50,146,26.19967269897461
50,147,25.651859283447266
50,148,25.551748275756836
50,149,25.3679256439209
100,1,1591.3248291015625
100,2,888.0264892578125
100,3,664.9716186523438
100,4,532.3757934570312
100,5,444.7517395019531
100,6,374.7771911621094
100,7,321.07696533203125
100,8,282.0791320800781
100,9,258.42840576171875
100,10,241.62582397460938
100,11,225.82424926757812
100,12,213.78814697265625
100,13,204.24864196777344
100,14,192.52243041992188
100,15,183.3992919921875
100,16,175.8291015625
100,17,165.6114501953125
100,18,161.05442810058594
100,19,155.3813934326172
100,20,147.1712188720703
100,21,142.12144470214844
100,22,139.99514770507812
100,23,136.0994873046875
100,24,131.11529541015625
100,25,128.09217834472656
100,26,124.81449127197266
100,27,121.76339721679688
100,28,119.24474334716797
100,29,115.98680877685547
100,30,113.051025390625
100,31,108.97466278076172
100,32,107.65821075439453
100,33,105.60516357421875
100,34,104.00302124023438
100,35,101.26045989990234
100,36,97.64518737792969
100,37,95.29438018798828
100,38,93.78580474853516
100,39,90.39464569091797
100,40,90.0873794555664
100,41,88.08506774902344
100,42,87.7102279663086
100,43,84.99385070800781
100,44,82.59258270263672
100,45,81.17499542236328
100,46,79.16649627685547
100,47,78.8362808227539
100,48,77.84686279296875
100,49,75.46222686767578
100,50,76.41426086425781
100,51,75.07122802734375
100,52,74.60836029052734
100,53,72.43932342529297
100,54,71.975341796875
100,55,70.09954833984375
100,56,69.71947479248047
100,57,68.27432250976562
100,58,67.0052719116211
100,59,67.3341293334961
100,60,65.91790008544922
100,61,64.85486602783203
100,62,64.80635070800781
100,63,63.85528564453125
100,64,62.13800811767578
100,65,60.961273193359375
100,66,61.319000244140625
100,67,60.87796401977539
100,68,59.2895622253418
100,69,59.85803985595703
100,70,58.03877639770508
100,71,58.020450592041016
100,72,57.43745040893555
100,73,56.91093444824219
100,74,56.357784271240234
100,75,55.88856887817383
100,76,54.102447509765625
100,77,53.828468322753906
100,78,52.90458297729492
100,79,53.06142044067383
100,80,52.4417724609375
100,81,52.00252151489258
100,82,52.45087432861328
100,83,51.47309112548828
100,84,50.3270149230957
100,85,49.69327926635742
100,86,49.879547119140625
100,87,48.98991012573242
100,88,49.31771469116211
100,89,48.24652862548828
100,90,47.943748474121094
100,91,47.43247604370117
100,92,47.07616424560547
100,93,46.43185043334961
100,94,46.28191375732422
100,95,45.70978927612305
100,96,44.86642074584961
100,97,43.89523696899414
100,98,44.103031158447266
100,99,43.713218688964844
100,100,43.254825592041016
100,101,43.32476806640625
100,102,43.2403450012207
100,103,42.11906433105469
100,104,42.67928695678711
100,105,40.95388412475586
100,106,40.82184982299805
100,107,41.014095306396484
100,108,39.74205780029297
100,109,39.724876403808594
100,110,39.50464630126953
100,111,38.982643127441406
100,112,38.99822998046875
100,113,39.360076904296875
100,114,38.70664596557617
100,115,38.17702102661133
100,116,37.61871337890625
100,117,37.414554595947266
100,118,36.8260612487793
100,119,36.1622314453125
100,120,35.51935577392578
100,121,35.820491790771484
100,122,35.86573028564453
100,123,35.43889236450195
100,124,35.43132400512695
100,125,34.86137771606445
100,126,34.71928787231445
100,127,34.25579833984375
100,128,33.789241790771484
100,129,33.42348098754883
100,130,33.293907165527344
100,131,33.03115463256836
100,132,32.79045867919922
100,133,32.29756546020508
100,134,32.52473449707031
100,135,32.19186019897461
100,136,31.540428161621094
100,137,31.64202308654785
100,138,31.72140121459961
100,139,30.84299659729004
100,140,30.894180297851562
100,141,30.571571350097656
100,142,30.338882446289062
100,143,30.230913162231445
100,144,30.100202560424805
100,145,29.426841735839844
100,146,29.27724266052246
100,147,29.133411407470703
100,148,29.030963897705078
100,149,28.692407608032227
