cluster,doc_ids,count,score
1,"[18, 61, 75, 80, 84, 88, 97, 121, 156, 157, 163, 180, 211, 235, 277, 288, 332, 388, 399, 474, 498, 503, 509, 511, 520, 564]",26,0.3349235204
2,"[1, 2, 6, 7, 36, 43, 47, 65, 67, 91, 103, 107, 122, 126, 164, 174, 175, 210, 219, 241, 242, 324, 338, 365, 377, 411, 467, 470, 472, 480, 484, 508, 513, 562]",34,0.3107234314
3,"[11, 12, 24, 25, 29, 35, 41, 42, 51, 71, 78, 86, 95, 105, 113, 128, 133, 140, 158, 168, 172, 181, 189, 197, 198, 205, 227, 267, 270, 271, 275, 299, 333, 344, 349, 352, 357, 363, 368, 382, 409, 544, 561, 566, 579, 580]",46,0.0196320462
