cluster,doc_ids,count,score
1,"[25, 112, 159, 176, 190, 198, 217, 248, 328, 329, 351, 420, 514, 553]",14,0.9089496096
2,"[126, 147, 150, 164, 195, 200, 211, 214, 224, 242, 267, 276, 287, 297, 308, 336, 390, 402, 404, 408, 413, 414, 417, 441, 457, 465, 474, 483, 484, 495, 505, 511, 533, 535, 544, 554]",36,0.3621664341
3,"[1, 2, 5, 6, 7, 10, 11, 12, 14, 15, 18, 19, 20, 21, 24, 26, 27, 28, 29, 32, 34, 35, 36, 40, 41, 42, 45, 47, 50, 51, 53, 54, 55, 58, 61, 64, 65, 67, 68, 70, 71, 75, 76, 78, 80, 81, 83, 84, 86, 88, 91, 94, 95, 97, 98, 101, 103, 105, 107, 108, 111, 113, 117, 121, 122, 124, 128, 131, 133, 136, 140, 142, 149, 156, 157, 158, 163, 166, 167, 168, 172, 173, 174, 175, 177, 178, 180, 181, 189, 191, 193, 197, 199, 203, 205, 207, 210, 213, 218, 219, 221, 223, 225, 227, 235, 241, 246, 250, 253, 254, 255, 257, 265, 268, 270, 271, 275, 277, 278, 279, 284, 285, 286, 288, 290, 292, 295, 299, 305, 315, 322, 323, 324, 332, 333, 335, 338, 344, 345, 349, 352, 357, 361, 363, 365, 366, 368, 369, 375, 377, 379, 382, 385, 386, 399, 400, 406, 409, 411, 412, 424, 428, 430, 442, 446, 447, 448, 466, 470, 471, 472, 480, 481, 482, 486, 494, 498, 500, 503, 506, 508, 509, 512, 513, 517, 518, 520, 524, 537, 538, 552, 558, 561, 562, 564, 566, 568, 573, 577, 579, 580, 581, 582, 583, 585, 589, 594]",207,-0.3205247111
