cluster,doc_ids,count,score
1,"[1, 7, 65, 103, 299, 365, 366, 430, 513, 562]",10,0.7177782711
2,"[28, 121, 172, 271, 290, 305, 344, 406, 482, 538, 594]",11,0.2938229714
3,"[2, 5, 6, 10, 11, 12, 14, 15, 18, 19, 20, 21, 24, 26, 27, 29, 32, 34, 35, 36, 40, 41, 42, 45, 47, 50, 51, 53, 54, 55, 58, 61, 64, 67, 68, 70, 71, 75, 76, 78, 80, 81, 83, 84, 86, 88, 91, 94, 95, 97, 98, 101, 105, 107, 108, 111, 113, 117, 122, 124, 128, 131, 133, 136, 140, 142, 149, 156, 157, 158, 163, 166, 167, 168, 173, 174, 175, 177, 178, 180, 181, 189, 191, 193, 197, 199, 203, 205, 207, 210, 213, 218, 219, 221, 223, 225, 227, 235, 241, 246, 250, 253, 254, 255, 257, 265, 268, 270, 275, 277, 278, 279, 284, 285, 286, 288, 292, 295, 315, 322, 323, 324, 332, 333, 335, 338, 345, 349, 352, 357, 361, 363, 368, 369, 375, 377, 379, 382, 385, 386, 399, 400, 409, 411, 412, 424, 428, 442, 446, 447, 448, 466, 470, 471, 472, 480, 481, 486, 494, 498, 500, 503, 506, 508, 509, 512, 517, 518, 520, 524, 537, 552, 558, 561, 564, 566, 568, 573, 577, 579, 580, 581, 582, 583, 585, 589]",186,-0.2040883638
