No,DocId,key-phrases,key-phrases-rake
1,111,"['urban design', 'urban planning', 'land use', 'environment', 'civilisation']","['difficult challenge nowadays', 'difficult challenge', 'challenge nowadays', 'spatial planning', 'urban planning']"
2,263,"['sustainable architecture', 'architecture', 'modular building', 'urban planning', 'social sustainability']","['modular building block', 'modular building', 'building block', 'adaptive architecture', 'sustainable architecture']"
3,316,"['sustainable floating village', 'sustainable floating community', 'floating village', 'ecotourism development', 'tourism development']","['precious traditional value', 'sustainable floating village', 'sustainable floating community', 'rapid population growth', 'unique heritage culture']"
4,335,"['town reconstruction', 'tsunami disaster prevention', 'east Japan earthquake', 'Japan earthquake', 'disaster prevention']","['east Japan earthquake', 'unprecedented national crisis', 'presumed tsunami hazard', 'central city area', 'affected city area']"
5,357,"['cement catalyst', 'recycle epoxy resin', 'mortar cement catalyst', 'polymer composite membrane', 'rhyolite mortar']","['GPS precipitable water', 'double dual boost', 'Nam Phong river', 'neuron CMOS inverter', 'municipal solid waste']"
