cluster,doc_ids,count,score
1,"[2, 29, 35, 76, 163, 174, 197, 210, 323, 357, 577]",11,0.39693781910000003
2,"[11, 21, 24, 27, 36, 41, 81, 101, 113, 167, 175, 213, 225, 253, 254, 257, 265, 361, 424, 442, 480, 494, 524, 552, 564, 589]",26,0.1441628181
3,"[12, 14, 42, 47, 51, 54, 61, 64, 68, 70, 71, 78, 80, 83, 84, 86, 97, 107, 124, 131, 133, 157, 168, 218, 235, 268, 295, 335, 363, 377, 382, 386, 481, 558, 566, 580, 581]",37,-0.0590808082
