Group,NumPhrases,Key-phrases,NumDocs,DocIds,score,dimension,min_samples,min_cluster_size
1,12,"['urban energy planning', 'local annual heating demand', 'energy consumption', 'climate prediction', 'global ecosystem', 'building energy performance', 'environmental monitoring task', 'Building energy consumption', 'quantitative spatial model', 'regional electric load forecasting', 'friendly energy source', 'meteorological parameter']",8,"[40, 70, 108, 207, 275, 308, 408, 442]",0.6876,25,5,12
2,13,"['generated design data', 'artificial neural network', 'geometric design feature', 'engineering field', 'big data', 'height data', 'generative design method', 'resilient structure', 'construction technique', 'intelligent unmanned technology', 'systematic review', 'promising model', 'unmanned aircraft flight']",9,"[54, 108, 132, 179, 266, 275, 308, 357, 442]",0.6876,25,5,12
3,9,"['Convolutional Neural Networks', 'simple linear model', 'three-months-ahead prediction problem', 'neural network algorithm', 'novel performance simulation', 'short flight time', 'smart city', 'hedonic price model', 'last decade']",7,"[40, 70, 108, 179, 275, 308, 408]",0.6876,25,5,12
4,15,"['large-scale land-use map', 'Korean smart city', 'urban area exerts', 'city modelling', 'building reconstruction', 'sustainable urban development', 'urban layout', 'multi-scale Geographic Information', 'urban building stock', 'urban planning', 'urban economy', 'Kazakhstan megalopolis', 'artificial urban modeling technique', 'reference city', 'urban morphology']",10,"[40, 70, 108, 132, 179, 207, 266, 275, 357, 408]",0.9511000000000001,35,10,15
5,15,"['vectorized model', 'ensemble model', 'base regressors', 'machine learning technique', 'unavoidable prerequisite', 'machine learning prediction', 'deep learning algorithms', 'integrated methodology', 'health monitoring', 'optimization theory', 'Machine learning', 'LiDAR information', 'iterative algorithm', 'characterize', 'Random Forest Regressor']",10,"[54, 70, 132, 179, 207, 266, 308, 357, 408, 442]",0.9511000000000001,35,10,15
