Group,NumPhrases,Key-phrases,NumDocs,DocIds,score,dimension,min_samples,min_cluster_size
1,10,"['machine learning algorithm', 'artificial neural network', 'data stream mining', 'Hoeffding Tree', 'different ML algorithms', 'multi-boosting technique', 'true skill statistic', 'machine learning technique', 'random forest', 'support vector machine']",10,"[25, 27, 81, 159, 176, 232, 248, 253, 329, 514]",0.9415,30,8,10
2,11,"['landslide susceptibility modeling', 'landslide susceptibility map', 'landslide susceptibility model', 'landslide prediction', 'susceptibility mapping', 'reduction measure', 'landslide susceptibility assessment', 'landslide susceptibility mapping', 'rockfall hazard assessment', 'accurate digital terrain model', 'landslides susceptibility prediction']",10,"[27, 81, 131, 159, 176, 232, 248, 253, 329, 514]",0.9415,30,8,10
3,16,"['Chilean metropolitan area', 'urban interface', 'biophysical factor', 'urban planning', 'AUC value', 'Geographical Information System', 'urban and environmental planning', 'Yunyang County', 'urban planning management', 'certainty factor', 'location allocation model', 'urban density', 'Kappa statistic', 'structural health monitoring', 'zone calculation', 'Accuracy parameter']",12,"[25, 27, 81, 131, 159, 248, 253, 329, 351, 380, 424, 514]",0.9415,30,8,10
4,15,"['Wildfire risk', 'terraced coastal landscape', 'intense rainfall', 'several regional climate model', 'urban flood susceptibility', 'Urban pluvial flooding', 'several rainfall threshold', 'post-fire assessment', 'satellite data', 'Climate change', 'environmental factor', 'geotechnical investigation report', 'urban pluvial flood vulnerability', 'emergency response centre', 'Flood risk mapping']",10,"[25, 131, 159, 176, 217, 232, 248, 329, 351, 380]",0.9769000000000001,30,25,15
5,15,"['satin bowerbird optimization', 'metaheuristic technique', 'Ensemble approach', 'MLPNN model', 'discriminant analysis', 'early warning system', 'ML model', 'RF model', 'fuzzy analytical hierarchy process', 'multiple layer perceptron', 'machine learning model', 'Fuzzy Analytical Network', 'utility computing model', 'biometric attendance system', 'Kysucké Nové Mesto']",10,"[27, 131, 176, 217, 248, 253, 351, 380, 424, 514]",0.9769000000000001,30,25,15
