cluster,doc_ids,count,score
1,"[62, 104, 127, 233, 281, 296, 326, 337, 358, 373, 395, 410, 425, 459, 491, 516, 522, 536, 541, 542, 571, 574]",22,0.8806417803000001
2,"[63, 155, 209, 220, 261, 300, 307, 334, 346, 356, 359, 422, 435, 439, 450, 461, 499, 519, 526, 597]",20,0.7690388728
3,"[30, 38, 110, 134, 138, 143, 240, 249, 273, 298, 304, 321, 355, 370, 392, 407, 423, 433, 530, 555]",20,-0.2333088884
