cluster,doc_ids,count,score
1,"[59, 72, 82, 92, 120, 171, 208, 232, 252, 283, 303, 316, 317, 318, 331, 374, 380, 391, 458, 464, 475, 497, 551, 565, 569, 572, 576, 578, 588, 590]",30,0.9275002153
2,"[9, 16, 46, 87, 89, 106, 132, 137, 141, 161, 165, 183, 188, 226, 234, 236, 259, 289, 330, 378, 389, 398, 418, 460, 462, 463, 469, 473, 478, 496, 507, 525, 528, 547, 548, 557, 563, 592]",38,0.8374301382
3,"[8, 23, 37, 66, 73, 74, 93, 96, 118, 129, 135, 144, 153, 162, 169, 204, 230, 231, 237, 282, 301, 302, 312, 314, 320, 327, 393, 405, 427, 437, 443, 444, 452, 476, 479, 490, 531, 559, 567]",39,-0.5106257243
