Group,score,NumPhrases,Key-phrases,NumDocs,DocIds,dimension,min_samples,min_cluster_size,x,y
1,0.876532135,46,"['nearby crime and violence', 'housing unit', 'urban environment', 'German residential area', 'urban planning and land readjustment policy', 'OpenStreetMap data', 'urban morphological difference', 'urban environment influence stress', 'urban transport planning', 'relevant socioeconomic variable', 'complex urban environment', 'building structure', 'landscape and climate variable', 'Metropolitan Manila', 'city pattern image', 'researcher and city developer', 'urban and smart city development', 'sustainable urbanisation strategy', 'geospatial simulation framework', 'urban area', 'urban planning', 'intercity corporate network', 'City factor', 'urban waterlogging', 'sustainable city leverage datadriven planning technology', 'sustainable urban development and Internet', 'urban planning and climate resilience', 'spatial plan', 'climate pressure', 'regional policy evaluation study', 'geographical space and territory', 'inner area strategy', 'water and basin governance', 'nexus governance debate', 'greenway planning', 'sourced urban data and machine learning algorithms', 'classical urban design theory', 'geographical information system', 'typical urban coverage condition', 'urban planning and management', 'graffiti and restaurant', 'connectedness and scale', 'architect and designer', 'urban planning authority', 'comprehensive urban soundscape evaluation', 'urban planning and crowd surveillance']",28,"[1, 12, 21, 33, 36, 53, 56, 58, 61, 68, 88, 109, 112, 121, 150, 166, 173, 199, 205, 246, 250, 369, 386, 399, 414, 564, 568, 580]",47,14,30,"[6.7800002098, 6.9099998474, 6.75, 6.8699998856, 6.8299999237, 6.7399997711, 6.8099999428, 6.6900000572, 6.8699998856, 6.7800002098, 6.8200001717, 6.9600000381000005, 6.7600002289, 6.8000001907000005, 6.8699998856, 6.8200001717, 6.7699999809, 6.7899999618999995, 6.8600001335, 6.7800002098, 6.8699998856, 6.8600001335, 6.7300000191, 6.7800002098, 6.75, 6.7600002289, 6.7800002098, 6.9699997902, 6.7600002289, 6.8400001526, 6.8499999046, 6.9800000191, 6.8600001335, 6.8800001144, 6.8499999046, 6.7300000191, 6.8400001526, 6.8499999046, 6.7699999809, 6.8200001717, 6.8400001526, 6.9000000954, 6.9200000763, 6.8400001526, 6.8099999428, 6.8000001907000005]","[4.1300001144, 4.2800002098, 3.9700000286, 4.1700000763, 4.1100001335, 4.0999999046, 4.0, 4.0700001717, 3.9700000286, 4.4099998474, 3.9200000763, 4.2300000191, 4.1399998665, 4.1199998856, 3.9600000381, 4.2300000191, 4.1399998665, 4.0799999237, 4.1300001144, 4.0599999428, 4.0500001907, 4.0500001907, 4.0799999237, 4.0100002289, 4.0900001526, 4.0500001907, 4.0799999237, 4.0, 4.1700000763, 4.2300000191, 4.0399999619, 4.0700001717, 4.3800001144, 4.4299998283, 4.0599999428, 3.9300000668, 4.0599999428, 4.1399998665, 3.9400000572, 4.1700000763, 4.1700000763, 3.9900000095, 4.4200000763, 4.1399998665, 4.0900001526, 4.1799998283]"
2,0.7188190088,73,"['Machine learning model', 'Unmanned Aircraft Systems', 'flow', 'Principal component analysis', 'support vector regression', 'demand matrix', 'Decision Tree', 'popular ML algorithms', 'random forest algorithm', 'conventional statistical modeling approach', 'machine learning technique', 'density estimation', 'LSTM SAE', 'Deep Learning', 'random forest', 'synthetic minority', 'interpolation method', 'DT and AdaBoost', 'supervised archetype classification', 'intelligent decision support system', 'agglomerative clustering', 'naïve Bayes classifier', 'criteria nature', 'random forest MLA', 'scenario simulation', 'recurrent neural network', 'urgent challenge', 'Machine learning', 'standardized and open ML pipeline', 'Human Computer Interaction', 'mobile application', 'reference framework', 'Things sensor', 'Support Systems', 'understanding research priority', 'smart specialization', 'knowledge spillover', 'mathematical fusion model', 'KNN algorithm', 'creative computing approach', 'intrusion detection method', 'ensemble learning approach', 'Support vector machine SVM', 'hot spot analysis', 'motor vehicle', 'Proper Orthogonal Decomposition', 'order modelling', 'AI system', 'military operation', 'deep reinforcement learning', 'constructive preference elicitation task', 'design preference', 'short time analysis', 'several processing system', 'speaker', 'SVM model', 'Sequential Minimal Optimization', 'personality classification method', 'Intelligent Tutoring Systems', 'Naive Bayes', 'chat conversation', 'natural language processing approach', 'image descriptor', 'conventional counting', 'personality classification task', 'novel natural language processing component', 'Naïve Bayes', 'serious game', 'party collaborative chat', 'novel computational linguistics method', 'player and mentor', 'online educational game', 'conversational demand']",31,"[1, 12, 33, 36, 53, 56, 58, 61, 64, 68, 88, 109, 112, 121, 148, 150, 166, 173, 246, 250, 332, 369, 386, 399, 414, 558, 564, 566, 568, 580, 581]",47,14,30,"[6.9800000191, 6.9000000954, 6.9600000381000005, 6.9400000572, 6.9400000572, 7.0500001907, 6.9000000954, 6.9200000763, 6.8899998665, 6.9699997902, 6.9699997902, 6.8899998665, 6.9600000381000005, 6.9000000954, 6.9099998474, 6.8699998856, 6.9600000381000005, 6.8800001144, 6.9000000954, 6.9800000191, 6.8699998856, 6.8899998665, 6.9899997711, 6.8699998856, 7.0, 6.9699997902, 7.0100002289, 6.9000000954, 6.9200000763, 7.0100002289, 6.9200000763, 6.9099998474, 6.9099998474, 6.9400000572, 6.9400000572, 6.9299998283, 6.9099998474, 7.0100002289, 6.9299998283, 7.0500001907, 6.9400000572, 6.9099998474, 6.9600000381000005, 6.9200000763, 6.8699998856, 6.9400000572, 7.0300002098, 7.0, 6.9099998474, 6.9400000572, 7.0500001907, 7.0799999237, 6.9499998093, 7.0199999809, 6.9400000572, 6.9600000381000005, 6.9499998093, 6.9099998474, 6.9800000191, 6.8699998856, 6.9699997902, 6.9800000191, 6.9499998093, 6.9400000572, 6.9099998474, 6.9600000381000005, 6.8800001144, 6.9299998283, 6.9499998093, 6.9600000381000005, 6.9200000763, 6.9499998093, 7.0100002289]","[4.3800001144, 4.3899998665, 4.75, 4.0500001907, 4.1500000954, 4.4800000191, 4.3200001717, 4.2199997902, 4.0799999237, 4.3899998665, 4.2800002098, 3.8800001144, 4.2100000381000005, 4.1399998665, 4.1599998474, 4.3699998856, 4.1500000954, 4.0999999046, 4.1900000572, 4.6999998093, 3.9800000191000002, 4.3299999237, 4.6900000572, 4.1300001144, 4.5199999809, 4.25, 4.8000001907000005, 4.1999998093, 4.4800000191, 4.8800001144, 4.8000001907000005, 4.6300001144, 4.4800000191, 4.7699999809, 4.5999999046, 4.5300002098, 4.4499998093, 4.3099999428, 4.0399999619, 4.8200001717, 4.3099999428, 4.1799998283, 4.2399997711, 4.1900000572, 4.4800000191, 4.0999999046, 4.4800000191, 4.6399998665, 4.6199998856, 4.2399997711, 4.75, 4.6500000954, 4.2899999618999995, 4.6999998093, 4.6399998665, 4.2199997902, 4.1900000572, 4.5799999237, 4.7100000381000005, 4.3600001335, 4.8000001907000005, 4.4800000191, 4.25, 4.4899997711, 4.5999999046, 4.4800000191, 4.2600002289, 4.7699999809, 4.6999998093, 4.4499998093, 4.7699999809, 4.8000001907000005, 4.75]"
3,-0.0601876635,43,"['ethnic heterogeneity and employment', 'spatial lag term', 'Unanticipated wind gust', 'Large Eddy Simulation', 'spatial analysis and machine learning', 'self organising map', 'active ageing', 'visual element', 'expensive and laborious traffic count', 'structure and material', 'mosquito occurrence', 'latent manifold', 'air pollution quality prediction', 'human environment', 'Electricity theft', 'neighbourhood densification', 'big data', 'year microblogging data', 'effective mosquito control', 'citizen science data', 'cognitive city', 'Systematics Literature Review', 'cognitive smart city', 'big data application', 'social network analysis', 'systematic literature review', 'energy and food', 'destination accessibility', 'BeiDou and Galileo satellite navigation system', 'positioning accuracy', 'GNSS signal', 'Livelihood orientation', 'IoT service', 'false alarm rate', 'theft rate', 'unstructured mesh', 'Layout synthesis', 'furniture arrangement', 'urban sound recognition performance', 'audio descriptor', 'soundscape classification', 'crowd analysis benchmark datasets', 'intelligent transportation']",27,"[1, 12, 21, 33, 36, 53, 56, 58, 61, 64, 68, 109, 112, 121, 148, 150, 199, 205, 246, 250, 332, 369, 386, 414, 558, 564, 568]",47,14,30,"[6.7899999618999995, 6.9600000381000005, 6.8400001526, 6.8899998665, 6.8299999237, 6.9000000954, 6.8000001907000005, 6.9499998093, 6.7699999809, 6.9899997711, 6.8600001335, 6.9200000763, 6.7399997711, 6.8000001907000005, 6.8499999046, 6.8600001335, 6.7600002289, 6.7100000381000005, 6.8699998856, 6.7100000381000005, 6.8000001907000005, 6.8400001526, 6.8000001907000005, 6.8299999237, 6.9200000763, 6.8299999237, 6.8499999046, 6.8699998856, 6.9000000954, 6.9699997902, 6.8899998665, 6.8400001526, 6.8899998665, 6.8400001526, 6.8299999237, 6.9800000191, 7.0799999237, 7.0599999428, 6.8200001717, 6.9299998283, 6.8699998856, 6.7399997711, 6.8600001335]","[4.4299998283, 4.0300002098, 4.0599999428, 4.0999999046, 3.7999999523, 3.8399999142, 4.6199998856, 4.4800000191, 4.2399997711, 4.3499999046, 4.2600002289, 3.9600000381, 3.8699998856, 4.5700001717, 4.1399998665, 3.8599998951, 4.5199999809, 4.4699997902, 4.2800002098, 4.4400000572, 4.2399997711, 4.5300002098, 4.3099999428, 4.6599998474, 4.3699998856, 4.4600000381000005, 4.6100001335, 4.1999998093, 4.1799998283, 4.0999999046, 4.1599998474, 4.6100001335, 4.5399999618999995, 4.0999999046, 4.1599998474, 4.2399997711, 4.4499998093, 4.4099998474, 4.1100001335, 4.3299999237, 4.1500000954, 4.3499999046, 4.3299999237]"
