Group,score,NumPhrases,Key-phrases,NumDocs,DocIds,dimension,min_samples,min_cluster_size,x,y
1,0.8545466770000001,27,"['machine learning algorithm', 'artificial neural network', 'satin bowerbird optimization', 'metaheuristic technique', 'data stream mining algorithm', 'Hoeffding Tree', 'similar AUC value', 'Ensemble approach', 'different ML algorithms', 'boosting technique and MLPNN', 'random forest', 'sensitivity and specificity', 'discriminant analysis', 'early warning system', 'ML model', 'machine learning technique', 'RF model', 'machine learning model', 'certainty factor', 'multiple layer perceptron', 'Fuzzy Analytical Network Process', 'Quick Unbiased Efficient Statistical Tree', 'GARP model', 'biometric attendance system', 'Utility Computing System', 'support vector machine model', 'ROC curve']",15,"[25, 27, 81, 131, 159, 176, 217, 232, 248, 253, 329, 351, 380, 424, 514]",28,2,27,"[4.5300002098, 4.5900001526, 4.6199998856, 4.6300001144, 4.5100002289, 4.3899998665, 4.4200000763, 4.4499998093, 4.5300002098, 4.5199999809, 4.4000000954, 4.3800001144, 4.4699997902, 4.4400000572, 4.4899997711, 4.5799999237, 4.5799999237, 4.5599999428, 4.3600001335, 4.5, 4.6100001335, 4.3499999046, 4.4800000191, 4.4899997711, 4.5199999809, 4.5, 4.4099998474]","[4.1100001335, 4.0700001717, 3.7300000191000002, 3.8699998856, 4.0900001526, 3.9000000954000003, 3.9300000668, 3.9700000286, 3.9200000763, 3.9900000095, 3.9600000381, 3.8800001144, 3.9700000286, 4.1799998283, 3.8900001049, 3.9700000286, 3.6800000668, 3.9900000095, 3.7799999714, 4.0500001907, 4.0599999428, 3.9700000286, 3.7400000095, 4.1300001144, 4.1199998856, 3.8900001049, 3.8900001049]"
2,0.7657855621,41,"['Wildfire risk', 'Chilean metropolitan area', 'geospatial data and satellite image', 'anthropic biophysical factor', 'landslide susceptibility modeling', 'urban planning', 'landslide susceptibility map', 'landslide susceptibility model', 'Geographical Information System', 'outstanding terraced coastal landscape', 'intense rainfall', 'landslide prediction', 'urban and environmental planning', 'susceptibility mapping', 'several regional climate model scenario', 'urban flood susceptibility mapping', 'Amol City', 'Urban pluvial flooding', 'several rainfall threshold line', 'landslide susceptibility assessment', 'fire assessment', 'satellite data', 'Climate change', 'landslide susceptibility mapping', 'environmental factor', 'Yunyang County', 'proper rockfall hazard assessment method', 'mountainous and hilly region', 'terrestrial laser scanner', 'urban planning management', 'geotechnical investigation report', 'urban pluvial flood vulnerability', 'location allocation model', 'emergency response centre', 'urban planning and risk mitigation', 'urban flood risk map', 'Structural Health Monitoring utility model', 'occupation and zone calculation', 'disaster and fatality', 'landslides susceptibility prediction', 'Kysucké Nové Mesto']",15,"[25, 27, 81, 131, 159, 176, 217, 232, 248, 253, 329, 351, 380, 424, 514]",28,2,27,"[4.3800001144, 4.5999999046, 4.5, 4.6700000763, 4.1700000763, 4.5100002289, 4.2699999809, 4.2100000381000005, 4.5900001526, 4.4800000191, 4.25, 4.3400001526, 4.4299998283, 4.3099999428, 4.6100001335, 4.1999998093, 4.5, 4.3099999428, 4.2800002098, 4.2600002289, 4.3699998856, 4.4499998093, 4.5799999237, 4.3400001526, 4.5599999428, 4.5900001526, 4.2800002098, 4.5700001717, 4.4299998283, 4.4600000381000005, 4.3099999428, 4.2800002098, 4.5799999237, 4.4000000954, 4.3800001144, 4.2600002289, 4.3400001526, 4.5999999046, 4.3099999428, 4.3200001717, 4.4600000381000005]","[3.8499999046, 3.75, 3.8399999142, 3.5199999808999998, 3.8199999332, 3.8699998856, 3.6700000763, 3.6800000668, 3.8299999237, 3.6500000954000003, 3.9000000954000003, 3.5499999523, 3.8599998951, 3.75, 3.5799999237, 3.9700000286, 3.8499999046, 3.8699998856, 3.8800001144, 3.6900000572, 4.0, 3.9300000668, 3.5699999332, 3.6900000572, 3.6199998856, 3.6199998856, 3.8199999332, 3.6500000954000003, 4.0399999619, 3.9300000668, 3.7400000095, 3.8800001144, 3.8699998856, 4.0700001717, 3.9400000572, 3.9700000286, 3.9800000191000002, 3.7799999714, 3.9100000858, 3.5899999142, 3.8900001049]"
