Cluster,Parent,Group,NumPhrases,Key-phrases,NumDocs,DocIds,score,dimension,min_samples,min_cluster_size
22,root,-1,34,"['machine learning', 'extreme learning machine', 'support vector machine', 'regression tree', 'regression model', 'regression', 'linear regression', 'distance metric learning', 'deep learning', 'whale optimization algorithm', 'vegetation information', 'vegetation distribution', 'vegetation barrier design', 'urban form characteristic', 'training domain', 'time series prediction', 'time series', 'susceptibility index', 'sequence reconstruction', 'seasonal prediction', 'random forest', 'predictor variable', 'prediction importance level', 'national empirical model', 'mode decomposition', 'Machine Learning approach', 'leaf area index', 'imbalanced datasets', 'heterogeneous urban environment', 'empirical mode decomposition', 'decision tree model', 'correlation', 'causal inference', 'BP neural network']",16,"[5, 14, 17, 26, 41, 50, 82, 94, 105, 142, 218, 238, 292, 294, 447, 501]",0.9224,60,15,24
22,root,0,25,"['air pollutant concentration', 'pollutant concentration data', 'pollutant concentration', 'air pollutant prediction', 'pollutant factor', 'particle concentration downwind', 'concentration prediction model', 'airborne particulate matter', 'air quality prediction', 'air quality monitoring', 'air quality', 'air pollution', 'smog observation', 'pollution prediction', 'meteorological factor', 'meteorological data', 'many treatment plant', 'health hazard forecasting', 'haze prevention', 'filtration time', 'fecal sludge management', 'environmental signal processing', 'environmental noise pollution', 'emission modelling', 'climate change problem']",18,"[5, 14, 17, 26, 41, 50, 82, 94, 105, 142, 218, 229, 238, 292, 294, 447, 498, 501]",0.9224,60,15,24
22,root,1,24,"['urban data source', 'spatial data', 'massive urban data', 'urban planning', 'urban environment', 'spatial variation', 'spatial inference stage', 'regional urbanization', 'diffusion data', 'weifang', 'uncertainty', 'quality sensor', 'prediction performance', 'overall sensor performance', 'mining raw microblogging', 'microscale variable', 'kriging', 'geographic information system', 'drift', 'city', 'Cities Study protocol', 'calibration campaign', 'analytical measurement', 'African city']",14,"[5, 17, 26, 41, 50, 82, 105, 142, 229, 238, 292, 447, 498, 501]",0.9224,60,15,24
