Group,score,NumPhrases,Key-phrases,NumDocs,DocIds
1,0.7112597943000001,24,"['Chengdu City', 'city semantic analogy', 'comfortable urban environment', 'dynamic urban theory', 'Foursquare venue', 'future smart city', 'intelligent city construction', 'rich city', 'Smart Cities', 'Smart city', 'smart city context', 'smart mobility', 'smart urban governance platform', 'Sustainable Development Goals', 'urban economy and mobility system', 'urban functional zoning and land use classification', 'urban informal economy', 'urban planning', 'urban planning and design', 'urban planning and development', 'urban planning and management', 'urban planning and traffic modeling', 'urban problem complaint hotline', 'urban resource planning']",18,"[3, 13, 22, 84, 97, 117, 133, 146, 210, 211, 257, 272, 273, 311, 345, 430, 468, 516]"
2,0.6619333925,29,"['Active learning', 'Ambient Intelligent Agent System Designs', 'aware service provision', 'complex event processing system', 'confirmation and machine learning', 'convolutional network', 'data mining technique', 'data validation framework', 'decision tree', 'deep learning model', 'Deep Neural Network Classification', 'ensemble technique', 'Explainable Artificial Intelligence', 'game abstraction framework', 'important high level user context', 'intelligence inference layer', 'intelligent system', 'machine learning', 'machine learning model', 'machine learning technique', 'manual and automatic object recognition', 'near real time reasoning layer', 'novel framework', 'predictive power', 'preprocessing tool', 'random forest', 'random forest classifier', 'semantic database', 'such predictive model']",26,"[4, 13, 32, 83, 84, 110, 117, 133, 146, 156, 184, 211, 272, 273, 281, 295, 309, 345, 384, 388, 430, 468, 503, 522, 537, 561]"
3,0.40729359270000004,33,"['Advanced Visual Big Data Analysis', 'affective Analytics and Visualization', 'big data', 'Bow Tie', 'community detection algorithms', 'crowd data', 'different graph input representation', 'discovery and topic modeling extraction', 'embedding space clustering', 'graph attention network', 'graph convolution network', 'graph fusion module', 'hierarchical clustering', 'intuitive way', 'large amount', 'large and diverse corpus', 'large scale graph machine learning', 'Latent Dirichlet Allocation', 'multiscale graph attention network', 'new similarity measure', 'resolution grid', 'social data', 'social medium and traffic data', 'social medium message', 'social network', 'spatial clustering', 'sport analytics', 'twitter', 'Twitter interaction', 'visual analytics', 'visual clutter', 'Visualization Reference Model', 'word embedding']",21,"[3, 13, 22, 30, 32, 83, 110, 133, 156, 184, 257, 273, 281, 295, 311, 343, 345, 384, 388, 503, 543]"
4,0.2581669669,62,"['Accurate traffic forecasting', 'activity transition', 'assault and offenses', 'citywide human OD flow prediction', 'commuting flow', 'COVID pandemic', 'crime prediction', 'crowd flow prediction', 'Crowd Management', 'crowd voting', 'distribution waveform', 'dynamic and spatial dependency', 'efficient movement', 'eye tracking data', 'fine grained human mobility pattern', 'flow map', 'Geocontextual Multitask Embedding Learner', 'geographic information retrieval', 'geographic movement', 'hand labeling', 'heuristic propagation model', 'hierarchical dataset', 'human mobility', 'improved geoparsing algorithm', 'individual travel behavior', 'Interactive Maps', 'large human mobility data', 'large scale training sample', 'large spatio temporal datasets', 'massive urban data', 'mobile phone datasets', ""mobile phone user's location information"", 'multimodal data distribution', 'offensive strategy', 'optimal police patrol strategy', 'overall terrorist attack prediction system', 'passenger data', 'Place2Vec model', 'real time data', 'real time travel mode detection', 'real world taxi journey dataset', 'residential travel census', 'road traffic crash location data', 'spatial familiarity', 'spatio temporal feature', 'spatiotemporal distribution and dynamic', 'spatiotemporal pattern and occurrence mechanism', 'tactical and strategic user role', 'temporal information', 'temporal trend', 'terrorism information perception system', 'tourist flow', 'tourist move', 'traffic incident analysis', 'traffic management', 'Transparent Health', 'transportation information', 'travel behavior interpretation', 'trip generation forecasting model', 'uncertain geographic context problem', 'urban area road monitoring application', 'vehicular traffic modelling']",33,"[3, 4, 13, 22, 30, 32, 83, 84, 97, 104, 110, 117, 133, 156, 210, 211, 257, 273, 281, 295, 309, 311, 343, 384, 388, 430, 468, 503, 516, 522, 537, 543, 561]"
